ID,RA,DEC,FREQ,SigmaSN,SigmaSp,SN,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.01,10:00:54.529,+02:34:35.622,341.41,8,2,10.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.02,10:00:54.789,+02:34:39.315,341.445,0,0,5.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.03,10:00:54.470,+02:34:36.442,344.275,3,1,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.04,10:00:53.744,+02:34:31.860,343.214,0,0,5.3,0.18,0.11,0.18,0.00,0.00,0.00,0.68,0.44,0.32,0.00,0.00,0.00
Survey_EL.05,10:00:55.296,+02:34:30.697,343.465,0,0,5.3,0.18,0.11,0.18,0.00,0.00,0.00,0.68,0.44,0.32,0.00,0.00,0.00
Survey_EL.06,10:00:55.132,+02:34:34.322,341.49,0,0,5.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.07,10:00:54.867,+02:34:37.332,344.697,0,0,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.08,10:00:54.721,+02:34:36.579,344.709,0,0,5.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.09,10:00:54.945,+02:34:34.938,343.077,0,0,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.10,10:00:54.483,+02:34:36.442,344.652,2,1,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.11,10:00:53.940,+02:34:40.683,343.328,0,0,5.0,0.78,0.52,0.22,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.12,10:00:54.424,+02:34:44.924,344.481,0,0,4.9,0.57,0.38,0.43,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.13,10:00:54.881,+02:34:31.860,344.013,0,0,4.9,0.51,0.32,0.43,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.14,10:00:55.104,+02:34:31.654,341.707,0,1,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.15,10:00:55.091,+02:34:31.928,344.378,0,0,4.9,0.57,0.38,0.43,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.16,10:00:55.031,+02:34:29.124,343.282,0,1,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.17,10:00:54.643,+02:34:33.364,342.46,0,0,4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.18,10:00:54.607,+02:34:28.850,342.255,0,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.19,10:00:54.935,+02:34:34.254,344.743,0,0,4.8,0.83,0.49,0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.20,10:00:54.251,+02:34:43.419,342.94,0,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.21,10:00:54.643,+02:34:27.003,344.264,0,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.22,10:00:54.876,+02:34:43.898,344.458,3,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.23,10:00:54.447,+02:34:43.556,344.309,2,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.24,10:00:54.205,+02:34:29.671,342.654,0,1,4.8,1.00,0.44,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.25,10:00:54.347,+02:34:29.739,344.618,0,0,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.26,10:00:53.844,+02:34:38.084,342.243,0,0,4.8,0.55,0.34,0.45,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.27,10:00:55.123,+02:34:32.954,342.118,1,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.28,10:00:54.511,+02:34:36.648,343.933,0,1,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.29,10:00:54.785,+02:34:31.244,342.94,0,1,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.30,10:00:54.032,+02:34:44.582,341.787,0,1,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
