#ID RA DEC FREQ SN SigmaSN SigmaSp P PE1 PE2 PSim PSimE1 PSimE2 PPesimistic PPesimisticE1 PPesimisticE2 PSimPesimistic PSimPesimisticE1 PSimPesimisticE2
Survey_EL.01 10:00:54.479 +02:34:36.306 344.264 6.3 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.02 10:00:54.488 +02:34:36.442 344.64 5.8 3 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.03 10:00:54.789 +02:34:39.315 341.445 5.6 0 0 0.06 0.04 0.06 0.00 0.00 0.00 0.19 0.12 0.17 0.00 0.00 0.00
Survey_EL.04 10:00:53.744 +02:34:31.860 343.214 5.3 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.05 10:00:55.296 +02:34:30.697 343.465 5.3 0 0 0.19 0.12 0.16 0.00 0.00 0.00 0.58 0.37 0.42 0.00 0.00 0.00
Survey_EL.06 10:00:55.118 +02:34:32.886 342.129 5.2 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.07 10:00:55.205 +02:34:30.423 344.321 5.2 3 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.08 10:00:55.132 +02:34:34.322 341.49 5.2 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.09 10:00:54.867 +02:34:37.332 344.697 5.1 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.10 10:00:54.721 +02:34:36.579 344.709 5.1 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.11 10:00:54.945 +02:34:34.938 343.077 5.0 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.12 10:00:54.442 +02:34:30.355 343.453 5.0 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.13 10:00:54.506 +02:34:36.169 341.524 5.0 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.14 10:00:53.940 +02:34:40.683 343.328 5.0 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.15 10:00:54.424 +02:34:44.924 344.481 4.9 0 0 0.61 0.39 0.39 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.16 10:00:54.881 +02:34:31.860 344.013 4.9 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.17 10:00:55.104 +02:34:31.654 341.707 4.9 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.18 10:00:55.091 +02:34:31.928 344.378 4.9 0 0 0.61 0.39 0.39 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.19 10:00:55.031 +02:34:29.124 343.282 4.9 0 0 0.61 0.39 0.39 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.20 10:00:54.981 +02:34:44.582 344.8 4.9 4 0 0.87 0.58 0.13 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.21 10:00:54.643 +02:34:33.364 342.46 4.9 0 0 0.31 0.19 0.24 0.00 0.00 0.00 0.97 0.58 0.03 0.00 0.00 0.00
Survey_EL.22 10:00:54.881 +02:34:43.830 344.458 4.9 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.23 10:00:54.607 +02:34:28.850 342.255 4.8 0 0 1.00 0.53 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.24 10:00:54.935 +02:34:34.254 344.743 4.8 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
