ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.01,10:00:54.502,+02:34:35.964,342.654,76.9,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.02,10:00:54.483,+02:34:36.306,343.704,45.8,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.03,10:00:54.497,+02:34:36.032,342.746,23.3,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.04,10:00:54.789,+02:34:28.303,343.704,9.9,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.05,10:00:54.798,+02:34:39.862,341.445,7.0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.06,10:00:53.963,+02:34:30.628,344.001,6.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.07,10:00:54.187,+02:34:30.834,343.91,6.8,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.08,10:00:54.862,+02:34:41.162,343.054,6.7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.09,10:00:54.858,+02:34:41.367,342.346,6.7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.10,10:00:54.283,+02:34:33.159,343.898,6.7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.11,10:00:54.949,+02:34:45.061,344.138,6.7,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.12,10:00:54.493,+02:34:30.970,342.129,6.6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.13,10:00:54.383,+02:34:40.478,343.898,6.6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.14,10:00:54.502,+02:34:35.827,344.435,6.6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.15,10:00:54.949,+02:34:41.709,344.629,6.5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Survey_EL.16,10:00:55.091,+02:34:33.980,341.49,6.4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.17,10:00:54.214,+02:34:32.954,342.209,6.4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00
Survey_EL.18,10:00:54.438,+02:34:44.377,344.583,6.4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.19,10:00:55.127,+02:34:28.713,343.488,6.3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.20,10:00:54.004,+02:34:39.794,343.887,6.3,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.21,10:00:53.849,+02:34:38.084,343.647,6.2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.22,10:00:54.776,+02:34:32.407,341.433,6.2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.23,10:00:54.748,+02:34:30.423,341.673,6.1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.24,10:00:54.671,+02:34:34.596,341.718,6.1,0,0,0.02,0.01,0.02,0.00,0.00,0.00,0.06,0.04,0.05,0.00,0.00,0.00
Survey_EL.25,10:00:55.081,+02:34:26.866,344.115,6.1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.26,10:00:54.365,+02:34:29.466,342.301,6.1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.27,10:00:54.100,+02:34:39.726,342.529,6.1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.28,10:00:55.228,+02:34:40.683,343.271,6.1,0,0,0.02,0.01,0.02,0.00,0.00,0.00,0.06,0.04,0.05,0.00,0.00,0.00
Survey_EL.29,10:00:54.967,+02:34:26.661,342.278,6.0,0,0,0.01,0.01,0.01,0.00,0.00,0.00,0.03,0.02,0.03,0.00,0.00,0.00
